PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
信義 12 廳	2009/11/14	12:30	47	(焦點影人) 轉眼人生： 市川準	我不買西裝	Buy a Suit	普G	◎	96
信義 12 廳	2009/11/14	13:50	132	(全球華人視野) 華人獨立影像	牛皮Ⅱ	Oxhide II	普G		68
信義 12 廳	2009/11/14	16:30	153	(焦點影人) 寶萊塢的莫札特：A. R. 拉曼	盧貝塔傳奇	Zubeidaa	普G	▲	107
信義 12 廳	2009/11/14	19:30	75	(奇幻世界) 短片動畫	凱爾斯的秘密	Brendan and the Secret of Kells	普G		124
信義 12 廳	2009/11/14	21:20	90	(酷電影) 搖滾啟示錄	燃燒吧！龐克	Burning Down the House: The Story of CBGB	普G		82
信義 12 廳	2009/11/15	11:00	122	(影迷嘉年華) 來自海上的聲音-東南亞焦點	人間樂土	Agrarian Utopia	普G		58
信義 12 廳	2009/11/15	13:30	95	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	不曾結束的故事	The Irrational Remains	普G	▲	41
信義 12 廳	2009/11/15	15:30	90	金馬&CNEX「八八水災」紀錄片徵案計畫	CNEX徵件活動場			◎	43
信義 12 廳	2009/11/15	17:30	118	(特別企劃) 暗夜微光-照亮重建之路	1428	1428	普G	★	42
信義 12 廳	2009/11/15	20:30	103	(酷電影) 搖滾啟示錄	誰在那邊唱	Who Is Singing There	普G	★	84
