PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
新光影城 1 廳	11/16	22:00	90	影迷嘉年華 / 非洲心聲	愛在戰火迷亂時	War Witch	輔		131
新光影城 2 廳	11/16	11:00	95	次文化派對 / 變奏青春	像個男人	Bad Seeds	輔		186
新光影城 2 廳	11/16	13:20	151	影迷嘉年華 / 亞洲爭鳴	戀戀大吉嶺	Barfi!	護	▲	125
新光影城 2 廳	11/16	16:40	101	影迷嘉年華 / 歐洲速寫	無罪可赦	Guilty	輔		139
新光影城 2 廳	11/16	19:10	94	影迷嘉年華 / 歐洲速寫	我不在的時候	The Exchange	限		148
新光影城 2 廳	11/16	21:30	93	焦點影人 / 布里蘭特曼多薩	高潮滿座	Serbis	限		227
光點華山電影館1廳	11/16	10:30	89	入圍影片	車手	Motorway	護		57
光點華山電影館1廳	11/16	12:50	172	入圍影片	白鹿原	White Deer Plain	限		48
光點華山電影館1廳	11/16	16:10	111	入圍影片	龍飛鳳舞	Flying Dragon, Dancing Phoenix	輔		49
光點華山電影館1廳	11/16	19:00	95	入圍影片	麵包情人	Money and Honey	普		78
光點華山電影館1廳	11/16	21:10	98	華語電影世界 / 中國獨立映像	楊梅洲	Song of Silence	限		97
光點華山電影館 2 廳	11/16	21:10	98	華語電影世界 / 中國獨立映像	楊梅洲	Song of Silence	限		97
宜蘭演藝廳	11/16	12:30	84	次文化派對 / 動畫集錦：瘋狂世界	偉哉吾兔	The Great Rabbit	輔		220
